Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
Aruba,ABW,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8920213,338615,118950,338168,266637,388761,69664,59102,141337,866862,560538,1073498,3325655,1627152,,,
Aruba,ABW,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.414375583,,,,3.213857542,3.292313477,4.052655398,10.24009794,4.915728954,,,
Andorra,AND,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2,0.5,0.6,1,0.5,0.7,0.6,1.5,2.7,0.1,0.3,0.3,0.5,,,,,
Andorra,AND,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285,7139,1906,915,892,978,485,601,539,502,637,812,696,542,689,578,438,,,,
Andorra,AND,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,504,498,226,728,600,240,258,202,304,239,259,325,243,259,225,182,,,,
Andorra,AND,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449,7643,2404,1141,1620,1578,725,859,741,806,876,1071,1021,785,948,803,620,,,,
Andorra,AND,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3914459,5577625,8330815,6432320,3511781,4113229,10193596,9822198,16410433,27459185,25375265,15582884,,,,,,,,,,
Andorra,AND,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.164747598,13.56072455,19.8012256,12.8138865,9.70343224,10.92196833,21.79661846,16.9856775,20.47674801,26.69742315,26.40161869,16.33052379,,,,,,,,,,
Afghanistan,AFG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308406.5,8423441.84,25862513.14,35299263.32,15693446.07,5646859.74,,,
Afghanistan,AFG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630707.26,727817.43,,408837.34,,,,,
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,1,0,1,1,0,0,1,0,0,0.2,1,0,0,0,1.2,2.8,3.9,4,3.8,6.6,11.7,5.5,7.7,,,,,
Afghanistan,AFG,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3378446.38,1366548.48,1173129.46,470000,20000,6378100,3185000,2753224.01,1570602.15,,,
Angola,AGO,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49430571.11,1339588442,12021694.12,12000000,,,,,,,,
Angola,AGO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,2,3,3,2,2.9,1,2.6,0.8,3.4,4.4,5,4.6,1.1,2.6,3.5,2.6,3.2,2.2,6.2,6.9,6,,,,,
Angola,AGO,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.98572922,,,,,
Angola,AGO,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.51631165,,,,,
Angola,AGO,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4204267.362,6768509.008,11850000,12436046.53,14447807.76,12246437.21,12667196.95,23378965.46,22612104.02,21801849.4,,
Albania,ALB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505314.458,723627.4161,7530000,39134188.22,17207967.41,741635.9962,13323433.57,1668465.296,1184975.49,750876.1494,,
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087350003,0.153080001,,,,,,,,
Albania,ALB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,11,6,15,8,12,17,15.1,18.6,10.4,14.5,15.9,6.7,10.3,16.8,8.9,7.3,9,10.2,12.3,13.5,8,18.3,26.9,,,,,
Albania,ALB,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,120,238,391,,386,,,,361,,8,,4,,,
Albania,ALB,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
Albania,ALB,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1059,2637,2803,2805,2540,2703,2766,2308,2281,2540,3555,3699,4015,4380,3810,3562,3560,2700,2931,,,
Albania,ALB,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,26,36,27,17,32,54,106,132,128,147,186,148,216,213,286,274,,377,,,
Albania,ALB,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1063,2663,2839,2832,2557,2735,2820,2414,2413,2668,3702,3885,4163,4596,4023,3848,3834,2700,3308,,,
Albania,ALB,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.9436188,,,,,,,,
Albania,ALB,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.01549149,,,,,,,,
Albania,ALB,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247748,302707,1070147,5144499,1489031,1858694,1950417,3614505,4872125,3607944,3968947,9945986,6296633,5832068,8585833,6202700,4819147,6256686,,,
Albania,ALB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179503228,0.339874041,0.761716063,1.744553865,0.697374879,0.724100711,0.699557264,0.95997465,0.991776725,4.222699697,6.167414935,1.314305132,3.469615642,0.764653339,0.893509249,0.530148791,0.443274093,0.513330673,,,
Arab World,ARB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289649778.4,264755627.3,513265852.8,385879185.8,392258199.6,435296356.7,407406984.1,589741637.9,609336750.3,,,
Arab World,ARB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174411828.8,318268578.5,157473828.2,41334881.87,64039306.12,48832293.59,43414567.3,30514082.14,98645545.87,,,
Arab World,ARB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,2714.863152,2718.92884,3027.019879,3285.200889,3266.915912,3244.567607,3126.694183,3141.936436,3413.961187,3548.456696,3509.62491,3636.138878,3763.479597,3904.12601,4093.498466,4250.839595,4341.539004,4644.723902,4786.539045,5148.392946,5306.038331,5710.359929,6166.970327,6653.501153,7124.865806,7840.810274,,,,,
Arab World,ARB,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,2033,2465,1931,1829,1806,1945,1953,1841,2176,2305,1984,1846,2002,2127,1948,1862,,1725,,,,,,1202,,,1499,1815,1780,2081,2131,,3318,,2428,2073,1892,1746,1946,2891,,4738,,,,,,,,,
Arab World,ARB,"Patent applications, residents",IP.PAT.RESD,,,,,,,176,180,,170,160,175,189,214,209,142,,,149,165,162,171,,193,,,,,,549,,,,702,703,795,902,,777,809,1124,831,991,874,932,982,,1027,,,,,,,,,
Arab World,ARB,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,3706,4470,,5457,5362,5898,5208,4929,6641,5982,6126,5213,5746,5133,6512,5893,5948,,,,,,,,,,,,,,,,,,,,22713,19660,18417,17422,21461,26403,31223,32248,27907,,26491,58743,57518,59326,,,
Arab World,ARB,"Trademark applications, direct resident",IP.TMK.RESD,,,,,1377,1675,,2048,1978,2400,1996,2713,2034,2118,2075,1953,1421,1662,1839,1996,2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Trademark applications, total",IP.TMK.TOTL,,,,,5083,6145,20898,7505,7340,8298,7204,8171,9219,8100,8201,7166,7167,6795,8351,7889,8411,,,,,,,,,,,,,,,,,,27859,23723,36881,29509,30771,30455,43265,50058,56946,58333,49855,44844,44979,78708,82325,82662,,,
Arab World,ARB,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861955361,827430225,942063102,1162803371,1227386650,1313886262,1722503887,1763771723,2038301280,1483228146,2325783024,,,,,,
Arab World,ARB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.273837428,1.428713017,3.228722959,0.90402881,1.133374588,,1.801114747,2.875764164,1.760568232,1.515014622,1.512613549,2.005618696,1.18156216,1.457410176,1.353945596,1.052757054,1.473341921,,,,,,,,
United Arab Emirates,ARE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489109993,,,,,
United Arab Emirates,ARE,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,23,30,33,57,77,109,98,120.2,143.1,151.6,155.5,129.9,144.7,156,163.3,178.3,210.2,229.3,229.6,214,255.5,264.8,276.1,323.5,,,,,
United Arab Emirates,ARE,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,1331,1408,,,
United Arab Emirates,ARE,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,20,18,,,
United Arab Emirates,ARE,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12851,12668,13454,,,
United Arab Emirates,ARE,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3208,4130,5293,,,
United Arab Emirates,ARE,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16059,16798,18747,,,
United Arab Emirates,ARE,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15771,136590,51757,,,,,,6367751,5003130,17105411,7267038,8237510,10354212,43157534,26369910,39672400,204925025,23373326,50474248,66644653,,,,,
United Arab Emirates,ARE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026478638,0.151992166,0.031645521,,,,,,1.120983295,0.708440058,1.965071945,,,,1.871488902,,1.070383568,3.202785439,,,,,,,,
Argentina,ARG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650640000,806370000,1042140000,1463220000,1461447055,1609794724,1939027387,2167221645,2210499159,1955212860,,
Argentina,ARG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51080000,71320000,106180000,104770000,101688206.1,144699285,176364885.1,180015412.2,175331363.6,129544481.8,,
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417490005,0.419589996,0.411309987,0.453370005,0.438840002,0.424609989,0.388859987,0.410129994,0.437559992,0.460770011,0.494619995,0.507929981,0.523810029,0.595099986,0.617449999,0.64696002,,,,,
Argentina,ARG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,892,,,,1190,1459,1475,1423,1518,1627,1499,1526,1585,1747,1967.2,2287.2,2450.8,2550.7,2635.8,2846.1,2930.7,3178.1,2919.8,2981.6,3058.4,3264,3364.3,3567.1,3655.2,3767.6,3862.8,,,,,
Argentina,ARG,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,5500,5096,2327,4205,4074,3703,3037,2547,2800,2862,3168,3063,3321,2793,2443,2656,,,,,,1955,1851,1919,2261,2820,3588,4012,5035,5459,5558,5574,5088,4143,3765,3816,4215,4597,4806,4781,,,,4078,4129,,,
Argentina,ARG,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,1830,1982,1081,1824,1756,1686,1616,1715,1704,1574,1314,1269,954,951,1102,1182,,,,,,955,943,503,787,694,676,1097,824,861,899,1062,691,718,792,786,1054,1020,937,801,,,,735,643,,,
Argentina,ARG,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,6550,6856,9226,8231,4033,4213,4060,3482,2689,2630,3311,4198,5276,6818,7075,5161,4484,,,7216,7611,8165,8237,14475,9703,10596,10650,13551,17788,14279,17410,19439,19342,18947,12996,12091,19373,16748,16708,18362,,,,,,21998,22487,,,
Argentina,ARG,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,24729,25367,31504,26153,15975,17187,18075,20533,24978,25390,26579,21266,21635,18498,22667,19455,23879,,,51434,46106,37092,33368,52578,34654,26749,27037,36316,43096,33693,42784,52569,45377,42900,27587,30721,61843,59683,61464,60777,,,,,,61165,65434,,,
Argentina,ARG,"Trademark applications, total",IP.TMK.TOTL,,,,24240,27206,28225,,31279,32223,40730,34384,20008,21400,22135,24015,27667,28020,29890,25464,26911,25316,29742,24616,28363,,,58650,53717,45257,41605,67053,44357,37345,37687,49867,60884,47972,60194,72008,64719,61847,40583,42812,81216,76431,78172,79139,58389,62074,59403,69565,,83163,87921,,,
Argentina,ARG,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.9694214,703.9452515,712.1542969,715.9296265,688.3200073,693.1889648,720.7454224,769.3014526,824.5736084,898.7167969,983.4646606,1046.549927,1092.279419,1178.474609,1235.979614,,,,,
Argentina,ARG,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.7611542,170.5098877,156.2938232,158.144043,166.6337433,161.3711395,169.2897034,181.8643188,201.5118408,209.0593872,196.5861511,207.5809784,221.169281,236.4875183,258.3251038,,,,,
Argentina,ARG,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255887224,271336431,247037164,285394512,400463473,460222625,544457420,599028286,797074012,800150443,600022456,710281801,761458020,840303735,1043916907,1139881387,1948517138,1546820304,1648289776,1978069865,1945836328,2433526528,,,
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.953191017,6.479174551,4.757370505,4.02028498,5.59195718,5.074831596,5.909451209,8.104063118,9.351856306,9.267344476,7.669045367,8.897494763,7.719023678,6.826630039,7.05418222,6.594450291,9.017369186,8.686933066,7.504834144,7.480739359,7.695440737,9.843586977,,,
Armenia,ARM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186920002,0.226009995,0.214000002,0.184630007,0.279870003,0.252550006,0.239710003,0.212009996,0.257609993,0.240569994,0.211070001,0.224380001,0.290930003,0.241390005,0.270139992,,,,,
Armenia,ARM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,21,165,178,166,197.9,172.3,165.9,163.9,175.4,156.7,172.8,184.1,191.2,179.9,179.5,174.8,190.7,164.2,183.4,184.6,,,,,
Armenia,ARM,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,79,98,154,121,8,16,8,15,7,6,6,2,1,5,4,11,6,19,4,6,,,
Armenia,ARM,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,154,187,162,62,75,109,119,140,200,151,,206,192,135,226,116,136,121,137,125,,,
Armenia,ARM,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6740,3248,4385,2840,3025,2487,2508,2683,2084,2193,2413,3046,3301,3819,3796,3283,3354,3518,3762,3664,,,
